region_id,region_name,fault_distance_m,fault_intersects,geology_type_joined,soil_type_joined,groundwater_mean,slope_mean,weathering_joined,fault_score,geology_score,soil_score,groundwater_score,slope_score,weathering_score,active_weight_sum,final_risk_score,risk_grade,land_use_recommendation
G015_022,grid_G015_022,,False,,ML,4.678571428571429,,,0,0,65.0,60.0,0,0,0.35,62.85714285714286,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G015_024,grid_G015_024,,False,,ML,-0.2641025641025641,,,0,0,65.0,100.0,0,0,0.35,80.0,매우 높음,"대규모 개발 제한, 공원, 생태녹지, 방재시설 권장"
G015_027,grid_G015_027,,False,,ML,6.418181818181818,,,0,0,65.0,35.0,0,0,0.35,52.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G016_016,grid_G016_016,,False,,SM,-1.7357142857142858,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G016_017,grid_G016_017,,False,,GW,-1.7214285714285713,,,0,0,20.0,80.0,0,0,0.35,45.714285714285715,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G016_022,grid_G016_022,,False,,SR,-3.1470588235294117,,,0,0,20.0,60.0,0,0,0.35,37.142857142857146,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G017_016,grid_G017_016,,False,,GW,-2.0521739130434784,,,0,0,20.0,80.0,0,0,0.35,45.714285714285715,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G017_018,grid_G017_018,,False,,CH,,,,0,0,90.0,0.0,0,0,0.35,51.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G017_022,grid_G017_022,,False,,CH,,,,0,0,90.0,0.0,0,0,0.35,51.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G017_025,grid_G017_025,,False,,MWR,-9664.305439330545,,,0,0,50.0,10.0,0,0,0.35,32.85714285714286,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G017_026,grid_G017_026,,False,,CL,,,,0,0,75.0,0.0,0,0,0.35,42.85714285714286,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G017_028,grid_G017_028,,False,,ML,4.166666666666667,,,0,0,65.0,60.0,0,0,0.35,62.85714285714286,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G017_029,grid_G017_029,,False,,SM,-0.5,,,0,0,55.0,100.0,0,0,0.35,74.28571428571429,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G018_018,grid_G018_018,,False,,SM,-2.7115044247787607,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G018_019,grid_G018_019,,False,,SM,-0.5107142857142857,,,0,0,55.0,100.0,0,0,0.35,74.28571428571429,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G018_020,grid_G018_020,,False,,SR,-0.8854368932038835,,,0,0,20.0,100.0,0,0,0.35,54.28571428571429,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G018_022,grid_G018_022,,False,,CL,-0.9157894736842105,,,0,0,75.0,100.0,0,0,0.35,85.71428571428572,매우 높음,"대규모 개발 제한, 공원, 생태녹지, 방재시설 권장"
G018_024,grid_G018_024,,False,,SM,-1.9388235294117646,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G018_025,grid_G018_025,,False,,SR,-3.023529411764706,,,0,0,20.0,60.0,0,0,0.35,37.142857142857146,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G018_026,grid_G018_026,,False,,GC,-2.3333333333333335,,,0,0,45.0,80.0,0,0,0.35,60.00000000000001,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G018_029,grid_G018_029,,False,,SM,3.9,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G018_030,grid_G018_030,,False,,SM,-10.92,,,0,0,55.0,10.0,0,0,0.35,35.714285714285715,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G018_031,grid_G018_031,,False,,WR,-1.2833333333333332,,,0,0,35.0,80.0,0,0,0.35,54.28571428571429,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G018_032,grid_G018_032,,False,,ET,-5.337213114754098,,,0,0,50.0,35.0,0,0,0.35,43.57142857142858,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G019_018,grid_G019_018,,False,,SM,-4.65,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G019_019,grid_G019_019,,False,,SM,-1.0830769230769233,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G019_020,grid_G019_020,,False,,GM,-1.6989010989010989,,,0,0,35.0,80.0,0,0,0.35,54.28571428571429,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G019_022,grid_G019_022,,False,,WR,-0.8323529411764706,,,0,0,35.0,100.0,0,0,0.35,62.85714285714286,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G019_023,grid_G019_023,,False,,SR,-1.8019607843137255,,,0,0,20.0,80.0,0,0,0.35,45.714285714285715,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G019_028,grid_G019_028,,False,,SM,1.3470588235294119,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G019_030,grid_G019_030,,False,,SM,-3.5,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G019_034,grid_G019_034,,False,,SM,7.300000000000001,,,0,0,55.0,35.0,0,0,0.35,46.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G019_035,grid_G019_035,,False,,SM,8.41904761904762,,,0,0,55.0,35.0,0,0,0.35,46.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G019_038,grid_G019_038,,False,,GP,,,,0,0,25.0,0.0,0,0,0.35,14.285714285714286,매우 낮음,"초고층 건물, 대규모 공공시설, 고밀도 주거단지, 산업단지 가능"
G020_017,grid_G020_017,,False,,SM,-0.7391304347826086,,,0,0,55.0,100.0,0,0,0.35,74.28571428571429,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G020_019,grid_G020_019,,False,,SM,-2.723404255319149,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G020_020,grid_G020_020,,False,,SM,-1.7072,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G020_023,grid_G020_023,,False,,SM,-3.8193215339233038,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G020_024,grid_G020_024,,False,,SM,-5.873939393939394,,,0,0,55.0,35.0,0,0,0.35,46.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G020_030,grid_G020_030,,False,,SM,-4279.385561497326,,,0,0,55.0,10.0,0,0,0.35,35.714285714285715,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G020_031,grid_G020_031,,False,,SM,-3.092857142857143,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G020_032,grid_G020_032,,False,,ET,,,,0,0,50.0,0.0,0,0,0.35,28.571428571428573,낮음,"초고층 건물, 대규모 공공시설, 주거단지, 산업단지 가능"
G020_033,grid_G020_033,,False,,SM,-7.0,,,0,0,55.0,35.0,0,0,0.35,46.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G020_034,grid_G020_034,,False,,SM,-2.5142857142857147,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G020_037,grid_G020_037,,False,,GP,2.792307692307692,,,0,0,25.0,80.0,0,0,0.35,48.57142857142858,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G020_038,grid_G020_038,,False,,GC,4.75,,,0,0,45.0,60.0,0,0,0.35,51.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G021_017,grid_G021_017,,False,,HR,-0.6007751937984496,,,0,0,10.0,100.0,0,0,0.35,48.57142857142858,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G021_020,grid_G021_020,,False,,SM,-1.8232653061224489,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G021_021,grid_G021_021,,False,,CL,-1.1238532110091743,,,0,0,75.0,80.0,0,0,0.35,77.14285714285715,매우 높음,"대규모 개발 제한, 공원, 생태녹지, 방재시설 권장"
G021_022,grid_G021_022,,False,,SR,-1.0425925925925925,,,0,0,20.0,80.0,0,0,0.35,45.714285714285715,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G021_023,grid_G021_023,,False,,SM,-0.4232876712328767,,,0,0,55.0,100.0,0,0,0.35,74.28571428571429,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G021_024,grid_G021_024,,False,,SM,-3.763013698630137,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G021_025,grid_G021_025,,False,,SM,-2.4352657004830918,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G021_026,grid_G021_026,,False,,GM,-1.6653846153846152,,,0,0,35.0,80.0,0,0,0.35,54.28571428571429,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G021_027,grid_G021_027,,False,,SM,-0.5,,,0,0,55.0,100.0,0,0,0.35,74.28571428571429,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G021_028,grid_G021_028,,False,,SR,-3.341463414634146,,,0,0,20.0,60.0,0,0,0.35,37.142857142857146,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G021_029,grid_G021_029,,False,,SM,-1.918867924528302,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G021_030,grid_G021_030,,False,,SM,-9.135,,,0,0,55.0,35.0,0,0,0.35,46.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G021_031,grid_G021_031,,False,,SM,-2.386585365853658,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G021_032,grid_G021_032,,False,,SM,-3.0203980099502488,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G021_033,grid_G021_033,,False,,CL,-3.1153846153846154,,,0,0,75.0,60.0,0,0,0.35,68.57142857142857,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G021_034,grid_G021_034,,False,,SM,-6.575206611570248,,,0,0,55.0,35.0,0,0,0.35,46.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G021_035,grid_G021_035,,False,,SR,-6.286896551724138,,,0,0,20.0,35.0,0,0,0.35,26.42857142857143,낮음,"초고층 건물, 대규모 공공시설, 주거단지, 산업단지 가능"
G021_036,grid_G021_036,,False,,SR,1.0190000000000001,,,0,0,20.0,80.0,0,0,0.35,45.714285714285715,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G021_037,grid_G021_037,,False,,SR,-9.49436090225564,,,0,0,20.0,35.0,0,0,0.35,26.42857142857143,낮음,"초고층 건물, 대규모 공공시설, 주거단지, 산업단지 가능"
G021_038,grid_G021_038,,False,,SM,-6.952941176470588,,,0,0,55.0,35.0,0,0,0.35,46.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G021_043,grid_G021_043,,False,,GP,34.0,,,0,0,25.0,10.0,0,0,0.35,18.571428571428573,낮음,"초고층 건물, 대규모 공공시설, 주거단지, 산업단지 가능"
G022_006,grid_G022_006,,False,,GP,0.0,,,0,0,25.0,100.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G022_009,grid_G022_009,,False,,ML,4.5,,,0,0,65.0,60.0,0,0,0.35,62.85714285714286,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G022_018,grid_G022_018,,False,,CL,-1.7961538461538462,,,0,0,75.0,80.0,0,0,0.35,77.14285714285715,매우 높음,"대규모 개발 제한, 공원, 생태녹지, 방재시설 권장"
G022_020,grid_G022_020,,False,,SM,2.0381176470588236,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G022_021,grid_G022_021,,False,,CL,0.10723076923076924,,,0,0,75.0,100.0,0,0,0.35,85.71428571428572,매우 높음,"대규모 개발 제한, 공원, 생태녹지, 방재시설 권장"
G022_023,grid_G022_023,,False,,SM,-7.684615384615385,,,0,0,55.0,35.0,0,0,0.35,46.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G022_024,grid_G022_024,,False,,SM,-3.634666666666667,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G022_025,grid_G022_025,,False,,SM,-4.009631147540984,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G022_026,grid_G022_026,,False,,WR,-3.7837944664031617,,,0,0,35.0,60.0,0,0,0.35,45.714285714285715,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G022_027,grid_G022_027,,False,,SM,-1.3878453038674032,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G022_028,grid_G022_028,,False,,SM,-2.4923076923076923,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G022_029,grid_G022_029,,False,,SM,-2.277464788732394,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G022_032,grid_G022_032,,False,,SR,-0.6492857142857142,,,0,0,20.0,100.0,0,0,0.35,54.28571428571429,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G022_033,grid_G022_033,,False,,SM,-3.223137254901961,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G022_035,grid_G022_035,,False,,SM,-7.417142857142858,,,0,0,55.0,35.0,0,0,0.35,46.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G022_036,grid_G022_036,,False,,SM,3.577596741344195,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G022_038,grid_G022_038,,False,,SM,-1.1373684210526316,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G023_015,grid_G023_015,,False,,SP,-2.2714285714285714,,,0,0,40.0,80.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G023_018,grid_G023_018,,False,,ML,-1.662857142857143,,,0,0,65.0,80.0,0,0,0.35,71.42857142857143,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G023_020,grid_G023_020,,False,,MWR,-7697.992573221758,,,0,0,50.0,10.0,0,0,0.35,32.85714285714286,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G023_021,grid_G023_021,,False,,CL,-1617.4442124542124,,,0,0,75.0,10.0,0,0,0.35,47.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G023_022,grid_G023_022,,False,,CL,-1.1731798561151079,,,0,0,75.0,80.0,0,0,0.35,77.14285714285715,매우 높음,"대규모 개발 제한, 공원, 생태녹지, 방재시설 권장"
G023_023,grid_G023_023,,False,,SR,-3.4810447761194028,,,0,0,20.0,60.0,0,0,0.35,37.142857142857146,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G023_024,grid_G023_024,,False,,WR,-2.3155844155844156,,,0,0,35.0,80.0,0,0,0.35,54.28571428571429,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G023_025,grid_G023_025,,False,,SR,7.016900584795322,,,0,0,20.0,35.0,0,0,0.35,26.42857142857143,낮음,"초고층 건물, 대규모 공공시설, 주거단지, 산업단지 가능"
G023_027,grid_G023_027,,False,,SR,-4.965065502183406,,,0,0,20.0,60.0,0,0,0.35,37.142857142857146,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G023_028,grid_G023_028,,False,,SM,-3.2507523939808483,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G023_029,grid_G023_029,,False,,SM,-2.6749649368863957,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G023_030,grid_G023_030,,False,,SM,-1.3372881355932205,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G023_031,grid_G023_031,,False,,SM,-3.98546511627907,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G023_032,grid_G023_032,,False,,SM,-2.4430379746835444,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G023_033,grid_G023_033,,False,,ML,-0.44,,,0,0,65.0,100.0,0,0,0.35,80.0,매우 높음,"대규모 개발 제한, 공원, 생태녹지, 방재시설 권장"
G023_036,grid_G023_036,,False,,WR,-2.251754143646409,,,0,0,35.0,80.0,0,0,0.35,54.28571428571429,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G023_037,grid_G023_037,,False,,SM,-2.3533333333333335,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G023_038,grid_G023_038,,False,,SM,0.07021472392638038,,,0,0,55.0,100.0,0,0,0.35,74.28571428571429,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G023_041,grid_G023_041,,False,,SM,0.0,,,0,0,55.0,100.0,0,0,0.35,74.28571428571429,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G024_017,grid_G024_017,,False,,SR,-2.4642857142857144,,,0,0,20.0,80.0,0,0,0.35,45.714285714285715,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G024_018,grid_G024_018,,False,,CL,-0.3611111111111111,,,0,0,75.0,100.0,0,0,0.35,85.71428571428572,매우 높음,"대규모 개발 제한, 공원, 생태녹지, 방재시설 권장"
G024_019,grid_G024_019,,False,,CL,-2.62,,,0,0,75.0,80.0,0,0,0.35,77.14285714285715,매우 높음,"대규모 개발 제한, 공원, 생태녹지, 방재시설 권장"
G024_020,grid_G024_020,,False,,SM,-1327.5378895300908,,,0,0,55.0,10.0,0,0,0.35,35.714285714285715,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G024_021,grid_G024_021,,False,,SM,-1637.4213300114986,,,0,0,55.0,10.0,0,0,0.35,35.714285714285715,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G024_022,grid_G024_022,,False,,SM,-0.38162911611785094,,,0,0,55.0,100.0,0,0,0.35,74.28571428571429,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G024_023,grid_G024_023,,False,,SM,-3.080263157894737,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G024_025,grid_G024_025,,False,,SM,27.863598901098904,,,0,0,55.0,10.0,0,0,0.35,35.714285714285715,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G024_026,grid_G024_026,,False,,SM,-2.4296296296296296,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G024_027,grid_G024_027,,False,,SR,-3.397183098591549,,,0,0,20.0,60.0,0,0,0.35,37.142857142857146,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G024_028,grid_G024_028,,False,,SM,-1.4,,,0,0,55.0,80.0,0,0,0.35,65.71428571428572,높음,"저층 건물, 공원, 녹지, 완충지대 권장. 개발 전 정밀 조사 필요"
G024_029,grid_G024_029,,False,,SM,-4.4404181184669,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G024_030,grid_G024_030,,False,,SM,-3.137234042553191,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G024_031,grid_G024_031,,False,,SM,3.2000000000000006,,,0,0,55.0,60.0,0,0,0.35,57.142857142857146,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
G024_032,grid_G024_032,,False,,SM,-4521.423548387097,,,0,0,55.0,10.0,0,0,0.35,35.714285714285715,약간 낮음,"일반 주거지, 학교, 중소형 공공시설 가능"
G024_033,grid_G024_033,,False,,SM,-6.46235294117647,,,0,0,55.0,35.0,0,0,0.35,46.42857142857143,보통,"중저층 건물, 생활 SOC, 일반 공원 가능. 상세 지반조사 권장"
